name,url,image_url,pigments,pigment_num,lightfastness,transparency,staining,granulation,3_mix,Additional Information,Price_15_ml,color_family,image_names
Imperial Purple,http://danielsmith.com/imperial-purple-5ml-tube-daniel-smith-extra-fine-watercolor/,http://danielsmith.com/wp-content/uploads/284610174_co-400x400.jpg,"Pigment: PV 19, PB 29 ",2,Lightfastness: I – Excellent,Transparency: Semi-Transparent,Staining: 2-Low Staining,Granulation: Granulating,"60% Quinacridone Rose, 40% Phthalo Blue (GS)","The PV19 pigment in Imperial Purple may cause neutralization (greying) of the color if mixed with blues containing green undertones.
",13.47,purple,imperial_purple_crop.jpg
Aussie Red Gold,http://danielsmith.com/aussie-red-gold-5ml-tube-daniel-smith-extra-fine-watercolor/,http://danielsmith.com/wp-content/uploads/284610234_co-400x400.jpg,"Pigment: PY 83, PR 101, PV 19 ",3,Lightfastness: I – Excellent,Transparency: Transparent,Staining: 2-Low Staining,Granulation: Non-Granulating,"80% Hansa Yellow Light, 20% Quinacridone Rose","This is a three pigment color and may lose transparency with additional mixes. Very close in tone to Quinacridone Gold, but non-granulating",13.47,red_gold,aussie_red_gold_crop.jpg
Buff Titanium,http://danielsmith.com/buff-titanium-5ml-tube-daniel-smith-extra-fine-watercolor/,http://danielsmith.com/wp-content/uploads/284610009_112817.jpg,Pigment: PW 6:1,1,Lightfastness: I – Excellent,Transparency: Semi-Opaque,Staining: 1-Non-Staining,Granulation: Granulating,"Very Dilute 60% Quinacridone Rose, 40% Hansa Yellow Light,  Hint of Phthalo Blue (GS) to Neutralize","Due to the presence of the white pigment, this shade will cause any watercolor mixed with it to lose translucency.
",10.86,white,buff_titanium_crop.jpg
Bismuth Vanadate Yellow,http://danielsmith.com/bismuth-vanadate-yellow-5ml-tube-daniel-smith-extra-fine-watercolor/,http://danielsmith.com/wp-content/uploads/284610154_112817.jpg,Pigment: PY 184,1,Lightfastness: I – Excellent,Transparency: Opaque,Staining: 2-Low Staining,Granulation: Non-Granulating,"Hansa Yellow Light, Drop of Phthalo Blue (GS)",This is a more opaque pigment and may cause other colors to lose their translucency. The pure yellow pigment will allow it to mix nicely with most greens.,13.47,yellow,bismuth_vanadate_yellow_crop.jpg
Hansa Yellow Light,http://danielsmith.com/hansa-yellow-light-5ml-tube-daniel-smith-extra-fine-watercolor/,http://danielsmith.com/wp-content/uploads/284610041_112817.jpg,Pigment: PY 3,1,Lightfastness: II – Very Good,Transparency: Semi-Transparent,Staining: 2-Low Staining,Granulation: Non-Granulating,None,"This is considered the ""Perfect Yellow"". The purity of the pigment will allow it to mix with most colors while avoiding grey undertones.",10.86,yellow,hansa_yellow_light_crop.jpg
Cadmium Yellow Light Hue,http://danielsmith.com/cadmium-yellow-light-hue-5ml-tube-daniel-smith-extra-fine-watercolor/,http://danielsmith.com/wp-content/uploads/284610192_112817.jpg,"Pigment: PY 53, PY 138, PY 3 ",3,Lightfastness: II – Very Good,Transparency: Semi-Opaque,Staining: 2-Low Staining,Granulation: Non-Granulating,Hansa Yellow Light,"A replacement for the more toxic original Cadmium Yellows, this contains three yellow pigments and may result in unexpected colors when mixed with other multi-pigment colors.",14.53,yellow,cadmium_yellow_light_hue_crop.jpg
Cadmium Yellow Medium Hue,http://danielsmith.com/cadmium-yellow-medium-hue-5ml-tube-daniel-smith-extra-fine-watercolor/,http://danielsmith.com/wp-content/uploads/284610184_112817.jpg,"Pigment: PY 53, PY 151, PY 83 ",3,Lightfastness: I – Excellent,Transparency: Semi-Opaque,Staining: 2-Low Staining,Granulation: Non-Granulating,"98% Hansa Yellow Light, 2% Quinacridone Rose","A replacement for the more toxic original Cadmium Yellows and slightly warmer than Cadmium Yellow Light Hue, this contains three yellow pigments and may result in unexpected colors when mixed with other multi-pigment colors.",14.53,yellow,cadmium_yellow_medium_hue_crop.jpg
Aureolin (Cobalt Yellow),http://danielsmith.com/aureolin-cobalt-yellow-5ml-tube-daniel-smith-extra-fine-watercolor/,http://danielsmith.com/wp-content/uploads/284610006_112817.jpg,Pigment: PY 40,1,Lightfastness: II – Very Good,Transparency: Transparent,Staining: 1-Non-Staining,Granulation: Non-Granulating,"95% Hansa Yellow Light, 4% Quinacridone Rose, 1% Phthalo Blue (GS)","Very similar to Hansa Yellow Light, but tends to be more fugitive.",14.53,yellow,aureolin__cobalt_yellow_crop.jpg
Hansa Yellow Medium,http://danielsmith.com/hansa-yellow-medium-5ml-tube-daniel-smith-extra-fine-watercolor/,http://danielsmith.com/wp-content/uploads/284610039_112817.jpg,Pigment: PY 97,1,Lightfastness: I – Excellent,Transparency: Semi-Transparent,Staining: 2-Low Staining,Granulation: Non-Granulating,"98% Hansa Yellow Light, 2% Quinacridone Rose","Very similar to Hansa Yellow Light, but slightly warmer. ",13.47,yellow,hansa_yellow_medium_crop.jpg
Lemon Yellow,http://danielsmith.com/lemon-yellow-5ml-tube-daniel-smith-extra-fine-watercolor/,http://danielsmith.com/wp-content/uploads/284610165_112817.jpg,Pigment: PY 175,1,Lightfastness: I – Excellent,Transparency: Transparent,Staining: 2-Low Staining,Granulation: Non-Granulating,Hansa Yellow Light,Slightly more green then Hansa Yellow Light. Will make bright greens when mixed with a cooler blue and neutralized greens with a warmer blue.,10.86,yellow,lemon_yellow_crop.jpg
Indian Yellow,http://danielsmith.com/indian-yellow-5ml-tube-daniel-smith-extra-fine-watercolor/,http://danielsmith.com/wp-content/uploads/284610045_112817.jpg,"Pigment: PY 97, PY 150 ",2,Lightfastness: I – Excellent,Transparency: Transparent,Staining: 2-Low Staining,Granulation: Non-Granulating,"98% Hansa Yellow Light, 2% Quinacridone Rose",An orangish-yellow that will make more olive tones with blues due to its red undertone. Very similar to New Gamboge.,14.53,yellow,indian_yellow_crop.jpg
Naples Yellow,http://danielsmith.com/naples-yellow-5ml-tube-daniel-smith-extra-fine-watercolor/,http://danielsmith.com/wp-content/uploads/284610058_112817.jpg,"Pigment: PW 4, PY 97, PR 101 ",3,Lightfastness: I – Excellent,Transparency: Semi-Transparent,Staining: 1-Non-Staining,Granulation: Non-Granulating,"75% Hansa Yellow Light, 25% Quinacridone Rose, Phthalo Blue (GS) to neutralize",This orange-yellow is mixed with a white undertone. This will make the color appear chalky when dry and may dull other mixtures.,10.86,yellow,naples_yellow_crop.jpg
